age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,subscribed,campaign [Binned] (equi-width),campaign [Binned](equi-depth),duration(min - max normalization),duration(z- score normalization),married(Binarization),divorced(Binarization),single(Binarization),unknown(Binarization),age_binned(Discretization)
57,services,married,high.school,unknown,no,no,telephone,may,mon,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.038349643,-0.409937939,1,0,0,0,Mid-age
45,services,married,high.school,unknown,yes,no,telephone,may,mon,787,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.207088072,1.935141043,1,0,0,0,Mid-age
48,admin.,married,high.school,no,no,no,telephone,may,mon,357,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.093361545,0.354601917,1,0,0,0,Mid-age
44,management,divorced,university.degree,no,yes,no,telephone,may,mon,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.04443269,-0.325397474,0,1,0,0,Adult
47,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,176,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.045490611,-0.310694785,1,0,0,0,Mid-age
57,unknown,married,unknown,unknown,no,no,telephone,may,mon,211,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.054747421,-0.182046251,1,0,0,0,Mid-age
55,management,married,unknown,unknown,yes,no,telephone,may,mon,272,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.070880719,0.042169764,1,0,0,0,Mid-age
57,unknown,married,unknown,unknown,yes,no,telephone,may,mon,48,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.011637133,-0.78118085,1,0,0,0,Mid-age
34,housemaid,married,basic.6y,no,yes,no,telephone,may,mon,300,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.078286168,0.145088591,1,0,0,0,Adult
42,admin.,married,university.degree,no,no,yes,telephone,may,mon,262,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.068235916,0.00541304,1,0,0,0,Adult
43,technician,single,professional.course,no,yes,no,telephone,may,mon,186,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.048135414,-0.273938061,0,0,1,0,Adult
40,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,46,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.011108172,-0.788532195,1,0,0,0,Adult
49,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,252,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.065591113,-0.031343684,1,0,0,0,Mid-age
43,admin.,married,unknown,no,no,no,telephone,may,mon,277,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.072203121,0.060548126,1,0,0,0,Adult
44,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.04443269,-0.325397474,1,0,0,0,Adult
48,admin.,married,high.school,no,no,no,telephone,may,mon,125,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.032002116,-0.498154077,1,0,0,0,Mid-age
57,retired,married,high.school,no,no,no,telephone,may,mon,238,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.061888389,-0.082803097,1,0,0,0,Mid-age
30,technician,married,university.degree,unknown,no,no,telephone,may,mon,40,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.009521291,-0.810586229,1,0,0,0,Adult
40,technician,divorced,professional.course,no,no,no,telephone,may,mon,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.038878604,-0.402586595,0,1,0,0,Adult
